Using device: cuda
Episode: 2021/10000, time: 183, truncated: False, cumulative reward: -119.05284005944029
Episode: 2026/10000, time: 272, truncated: False, cumulative reward: -115.52006869704657
Episode: 2029/10000, time: 170, truncated: False, cumulative reward: -86.72903627447222
Episode: 2035/10000, time: 169, truncated: False, cumulative reward: -83.84042175393333
Episode: 2044/10000, time: 138, truncated: False, cumulative reward: -78.12796365910644
Episode: 2050/10000, time: 227, truncated: False, cumulative reward: -64.26143081182067
Episode: 2056/10000, time: 231, truncated: False, cumulative reward: -43.19971031371963
Episode: 2060/10000, time: 251, truncated: False, cumulative reward: -58.28705335738127
Episode: 2061/10000, time: 187, truncated: False, cumulative reward: -136.57520446435655
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 2111/10000, time: 173, truncated: False, cumulative reward: -66.70802383690399
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 2201/10000, time: 147, truncated: False, cumulative reward: -82.63598494991754
Episode: 2204/10000, time: 129, truncated: False, cumulative reward: -96.51042449861868
Episode: 2213/10000, time: 180, truncated: False, cumulative reward: -95.4316589312159
Episode: 2220/10000, time: 184, truncated: False, cumulative reward: -102.76419424587114
Episode: 2225/10000, time: 195, truncated: False, cumulative reward: -86.55597038880506
Episode: 2232/10000, time: 153, truncated: False, cumulative reward: -113.5024054254748
Episode: 2240/10000, time: 137, truncated: False, cumulative reward: -39.66979470890272
Episode: 2296/10000, time: 204, truncated: False, cumulative reward: -69.58223560134712
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
Episode: 2301/10000, time: 151, truncated: False, cumulative reward: -106.69783615732067
Episode: 2342/10000, time: 173, truncated: False, cumulative reward: -79.93192861822267
Episode: 2373/10000, time: 242, truncated: False, cumulative reward: -56.15756905931657
Episode: 2384/10000, time: 182, truncated: False, cumulative reward: -148.53293541453866
Episode: 2394/10000, time: 143, truncated: False, cumulative reward: -176.39779639044013
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
模型状态字典已保存至 c:\Users\isrya\#MyFiles\#MyCode\GithubUoL\COMP532\AS02\models\model_0.pth
